dir,base,name,offset,rom_addr,usize,method,csize
0x0460540,0x470000,CLEAR1_C.TEM,0x271974,0x06E1974,0x2440,0x2200,0x9C3
0x0460540,0x470000,CLEAR1_D.TEM,0x272338,0x06E2338,0x2440,0x2200,0x1514
0x0460540,0x470000,CLEAR1_E.TEM,0x27384C,0x06E384C,0x2440,0x2200,0x1477
0x0460540,0x470000,CLEAR1_F.TEM,0x274CC4,0x06E4CC4,0x2440,0x2200,0x9DE
0x0460540,0x470000,CLEAR1_G.TEM,0x2756A2,0x06E56A2,0x2440,0x2200,0x4A0
0x0460540,0x470000,CLEAR1_H.TEM,0x275B42,0x06E5B42,0x2440,0x2200,0xC9E
0x0460540,0x470000,CLEAR1_I.TEM,0x2767E0,0x06E67E0,0x2440,0x2200,0x9A0
0x0460540,0x470000,CLEAR1_J.TEM,0x277180,0x06E7180,0x2440,0x2200,0x9C3
0x0460540,0x470000,CLEAR1_K.TEM,0x277B44,0x06E7B44,0x2440,0x1100,0x489
0x0460540,0x470000,SCB01EA.INI,0x277FCE,0x06E7FCE,0x1213,0x2200,0x7BE
0x0460540,0x470000,SCB02EA.INI,0x27878C,0x06E878C,0x1386,0x2200,0x90F
0x0460540,0x470000,SCB02EB.INI,0x27909C,0x06E909C,0x150E,0x2200,0x99E
0x0460540,0x470000,SCB03EA.INI,0x279A3A,0x06E9A3A,0x1E60,0x2200,0xD0C
0x0460540,0x470000,SCB03EB.INI,0x27A746,0x06EA746,0x21EF,0x2200,0xE63
0x0460540,0x470000,SCB04EA.INI,0x27B5AA,0x06EB5AA,0x1A60,0x2200,0xAE1
0x0460540,0x470000,SCB04EB.INI,0x27C08C,0x06EC08C,0x2311,0x2200,0xDD0
0x0460540,0x470000,SCB05EA.INI,0x27CE5C,0x06ECE5C,0x2214,0x2200,0xF7D
0x0460540,0x470000,SCB06EA.INI,0x27DDDA,0x06EDDDA,0x1EE2,0x2200,0xCAC
0x0460540,0x470000,SCB06EB.INI,0x27EA86,0x06EEA86,0x1EA2,0x2200,0xCD0
0x0460540,0x470000,SCB06EC.INI,0x27F756,0x06EF756,0x1A48,0x2200,0xB99
0x0460540,0x470000,SCB07EA.INI,0x2802F0,0x06F02F0,0x2882,0x2200,0x11DE
0x0460540,0x470000,SCB07EB.INI,0x2814CE,0x06F14CE,0x3A60,0x2200,0x17BC
0x0460540,0x470000,SCB07EC.INI,0x282C8A,0x06F2C8A,0x251C,0x2200,0xFCE
0x0460540,0x470000,SCB08EA.INI,0x283C58,0x06F3C58,0x288F,0x2200,0x11C1
0x0460540,0x470000,SCB08EB.INI,0x284E1A,0x06F4E1A,0x2AF7,0x2200,0x12EA
0x0460540,0x470000,SCB09EA.INI,0x286104,0x06F6104,0x31F2,0x2200,0x14D9
0x0460540,0x470000,SCB10EA.INI,0x2875DE,0x06F75DE,0x3D01,0x2200,0x1729
0x0460540,0x470000,SCB10EB.INI,0x288D08,0x06F8D08,0x1F2A,0x2200,0xCC3
0x0460540,0x470000,SCB11EA.INI,0x2899CC,0x06F99CC,0x3127,0x2200,0x1472
0x0460540,0x470000,SCB11EB.INI,0x28AE3E,0x06FAE3E,0x3696,0x2200,0x168C
0x0460540,0x470000,SCB12EA.INI,0x28C4CA,0x06FC4CA,0x2CED,0x2200,0x1317
0x0460540,0x470000,SCB13EA.INI,0x28D7E2,0x06FD7E2,0x343E,0x2200,0x16F0
0x0460540,0x470000,SCB13EB.INI,0x28EED2,0x06FEED2,0x3686,0x2200,0x17EC
0x0460540,0x470000,SCB13EC.INI,0x2906BE,0x07006BE,0x3E82,0x2200,0x1997
0x0460540,0x470000,SCB20EA.INI,0x292056,0x0702056,0x338E,0x2200,0x17F9
0x0460540,0x470000,SCB21EA.INI,0x293850,0x0703850,0x1A5A,0x2200,0xB62
0x0460540,0x470000,SCB22EB.INI,0x2943B2,0x07043B2,0x2B98,0x2200,0x1274
0x0460540,0x470000,SCB31EA.INI,0x295626,0x0705626,0x34FE,0x2200,0x16AD
0x0460540,0x470000,SCB32EA.INI,0x296CD4,0x0706CD4,0x3750,0x2200,0x1994
0x0460540,0x470000,SCB33EA.INI,0x298668,0x0708668,0x3568,0x2200,0x17D0
0x0460540,0x470000,SCB35EA.INI,0x299E38,0x0709E38,0x2573,0x2200,0xFF1
0x0460540,0x470000,SCB37EA.INI,0x29AE2A,0x070AE2A,0x1E56,0x2200,0xCB9
0x0460540,0x470000,SCB60EA.INI,0x29BAE4,0x070BAE4,0x1D5A,0x2200,0xD01
0x0460540,0x470000,SCB61EA.INI,0x29C7E6,0x070C7E6,0x2BAD,0x2200,0x139A
0x0460540,0x470000,SCB64EA.INI,0x29DB80,0x070DB80,0x2BC0,0x2200,0x1246
0x0460540,0x470000,SCG01EA.INI,0x29EDC6,0x070EDC6,0x1120,0x2200,0x7F1
0x0460540,0x470000,SCG02EA.INI,0x29F5B8,0x070F5B8,0x1A5D,0x2200,0xB01
0x0460540,0x470000,SCG03EA.INI,0x2A00BA,0x07100BA,0x2644,0x2200,0x1067
0x0460540,0x470000,SCG04EA.INI,0x2A1122,0x0711122,0x18AE,0x2200,0xAB7
0x0460540,0x470000,SCG04WA.INI,0x2A1BDA,0x0711BDA,0x1C48,0x2200,0xC74
0x0460540,0x470000,SCG04WB.INI,0x2A284E,0x071284E,0x1F4B,0x2200,0xD3D
0x0460540,0x470000,SCG05EA.INI,0x2A358C,0x071358C,0x2B6C,0x2200,0x12C7
0x0460540,0x470000,SCG05EB.INI,0x2A4854,0x0714854,0x2D7A,0x2200,0x1420
0x0460540,0x470000,SCG05WA.INI,0x2A5C74,0x0715C74,0x27A4,0x2200,0x1147
0x0460540,0x470000,SCG05WB.INI,0x2A6DBC,0x0716DBC,0x2847,0x2200,0x1181
0x0460540,0x470000,SCG06EA.INI,0x2A7F3E,0x0717F3E,0x2526,0x2200,0xF74
0x0460540,0x470000,SCG07EA.INI,0x2A8EB2,0x0718EB2,0x2A00,0x2200,0x1202
0x0460540,0x470000,SCG08EA.INI,0x2AA0B4,0x071A0B4,0x33F5,0x2200,0x16AB
0x0460540,0x470000,SCG08EB.INI,0x2AB760,0x071B760,0x3213,0x2200,0x1632
0x0460540,0x470000,SCG09EA.INI,0x2ACD92,0x071CD92,0x2C92,0x2200,0x13A3
0x0460540,0x470000,SCG10EA.INI,0x2AE136,0x071E136,0x306B,0x2200,0x14DC
0x0460540,0x470000,SCG10EB.INI,0x2AF612,0x071F612,0x2630,0x2200,0x112E
0x0460540,0x470000,SCG11EA.INI,0x2B0740,0x0720740,0x2924,0x2200,0x1229
0x0460540,0x470000,SCG12EA.INI,0x2B196A,0x072196A,0x34D4,0x2200,0x1667
0x0460540,0x470000,SCG12EB.INI,0x2B2FD2,0x0722FD2,0x28B2,0x2200,0x1204
0x0460540,0x470000,SCG13EA.INI,0x2B41D6,0x07241D6,0x3575,0x2200,0x16D8
0x0460540,0x470000,SCG13EB.INI,0x2B58AE,0x07258AE,0x3575,0x2200,0x16D8
0x0460540,0x470000,SCG14EA.INI,0x2B6F86,0x0726F86,0x1928,0x2200,0xA3D
0x0460540,0x470000,SCG15EA.INI,0x2B79C4,0x07279C4,0x39B6,0x2200,0x1909
